Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
07/16/2021,28,LTC,972,"7,903,603",801,738,"4,662,982",535,Report,972,801,0,0,0
07/16/2021,28,US,"549,205","336,604,158","519,678","289,142","185,424,899","268,861",Report,"549,205","519,678","277,840","160,686,378","293,849"
07/16/2021,28,LTC,0,"7,903,603",233,0,"4,662,982",162,Admin,0,233,0,"3,201,170",144
07/16/2021,28,US,0,"336,604,158","251,829",0,"185,424,899","134,517",Admin,0,"251,829",0,"160,686,380","129,565"
07/15/2021,28,LTC,919,"7,902,631",847,580,"4,662,244",550,Report,919,847,0,0,0
07/15/2021,28,US,"567,174","336,054,953","529,879","300,608","185,135,757","271,244",Report,"567,174","529,879","282,022","160,408,538","302,996"
07/15/2021,28,LTC,0,"7,903,603",303,0,"4,662,982",203,Admin,0,303,0,"3,201,170",176
07/15/2021,28,US,"42,552","336,604,158","334,262","22,067","185,424,899","177,094",Admin,"42,552","334,263","22,276","160,686,380","174,234"
07/14/2021,28,US,"264,147","336,561,606","403,289","138,808","185,402,832","212,804",Admin,"264,147","403,290","138,405","160,664,104","212,015"
07/14/2021,28,LTC,529,"7,901,712",908,328,"4,661,664",596,Report,529,908,0,0,0
07/14/2021,28,US,"545,543","335,487,779","548,045","291,328","184,835,149","277,010",Report,"545,543","548,045","451,353","160,126,516","316,906"
07/14/2021,28,LTC,489,"7,903,603",536,332,"4,662,982",370,Admin,489,536,332,"3,201,170",314
07/13/2021,28,US,"341,466","334,942,236","532,556","178,488","184,543,821","261,394",Report,"341,466","532,556","175,939","159,675,163","291,296"
07/13/2021,28,LTC,782,"7,903,114",661,568,"4,662,650",447,Admin,782,661,522,"3,200,838",381
